NAME,B01003_001E,B25064_001E,B25077_001E,B07003_001E,B07003_004E,B07003_008E,B07003_010E,B11016_001E,B25003_002E,B25003_003E,zip,moved_different_house_pct,median_rent_usd,population,zillow_home_value_index,zillow_rent_index,B25064_001E_suppressed,B25077_001E_suppressed,median_rent_usd_suppressed
ZCTA5 33101,0,1663.0,380100.0,0,0,0,0,0,0,0,33101,,1663.0,0,,,True,True,True
ZCTA5 33109,792,1663.0,2000001.0,792,630,97,0,328,307,21,33109,0.2045454545454545,1663.0,792,6413595.656803385,,True,False,True
ZCTA5 33122,1873,2370.0,1335900.0,1824,962,241,8,816,76,740,33122,0.4725877192982456,2370.0,1873,1505538.246902889,2740.611111111112,False,False,False
ZCTA5 33125,54873,1238.0,339300.0,54290,49530,2057,171,21227,5080,16147,33125,0.0876772886351077,1238.0,54873,459772.08683978976,2313.579166666667,False,False,False
ZCTA5 33126,46798,1546.0,287100.0,46403,41635,1763,240,18073,7104,10969,33126,0.1027519772428506,1546.0,46798,301782.8818148346,2380.2410256410258,False,False,False
ZCTA5 33127,28306,1283.0,346000.0,27993,24314,1533,300,9661,2819,6842,33127,0.1314257135712499,1283.0,28306,521335.8794192681,2998.258333333333,False,False,False
ZCTA5 33128,8989,1191.0,292400.0,8937,7310,753,60,3907,123,3784,33128,0.1820521427772183,1191.0,8989,440768.4766146476,2809.2811965811966,False,False,False
ZCTA5 33129,15184,2153.0,526800.0,14954,12414,912,76,7267,3393,3874,33129,0.1698542196067941,2153.0,15184,687646.0024834754,3644.846978557505,False,False,False
ZCTA5 33130,32946,1553.0,436000.0,32573,25611,2841,620,16915,2120,14795,33130,0.2137353022441899,1553.0,32946,507206.06561679527,3150.938320381092,False,False,False
ZCTA5 33131,22540,2649.0,599100.0,22256,15720,1931,418,12552,4132,8420,33131,0.2936736161035226,2649.0,22540,588739.6873255532,3793.4822029822026,False,False,False
ZCTA5 33132,17136,2373.0,535900.0,16658,10852,1936,1075,8969,2226,6743,33132,0.3485412414455517,2373.0,17136,529723.155938494,3286.435059422751,False,False,False
ZCTA5 33133,34500,1824.0,825100.0,33980,27337,2355,361,14479,7487,6992,33133,0.1954973513831665,1824.0,34500,1302043.4387278543,3579.6375313635167,False,False,False
ZCTA5 33134,37958,1719.0,637300.0,37639,32495,2066,175,16251,8937,7314,33134,0.1366667552272908,1719.0,37958,878612.0950932098,2919.2217948717957,False,False,False
ZCTA5 33135,34742,1221.0,367100.0,34353,30834,1311,153,14513,3050,11463,33135,0.1024364684307047,1221.0,34742,524384.9916386112,2181.565045248869,False,False,False
ZCTA5 33136,16854,1177.0,290500.0,16676,13598,1177,459,6894,834,6060,33136,0.1845766370832333,1177.0,16854,324841.132442911,2615.060355127096,False,False,False
ZCTA5 33137,25283,2142.0,462200.0,25107,19428,1755,300,11498,3020,8478,33137,0.2261918986736766,2142.0,25283,660793.1404971308,3608.563486755835,False,False,False
ZCTA5 33138,28609,1390.0,604300.0,28046,24496,1242,493,12701,6193,6508,33138,0.1265777651001925,1390.0,28609,789231.1982692367,2323.567901234568,False,False,False
ZCTA5 33139,35100,1680.0,476000.0,34756,25985,2381,720,20113,6338,13775,33139,0.2523593048682241,1680.0,35100,470151.51584802143,3053.251907814408,False,False,False
ZCTA5 33140,19785,1912.0,837700.0,19386,15550,1213,249,8579,4878,3701,33140,0.197874754977819,1912.0,19785,672784.0087485499,3947.8502506265663,False,False,False
ZCTA5 33141,35967,1634.0,419900.0,35811,28657,2260,477,16685,5675,11010,33141,0.1997710200776297,1634.0,35967,419621.26100973465,2582.6062753036435,False,False,False
ZCTA5 33142,59121,1189.0,277600.0,58483,52219,2328,289,20178,5729,14449,33142,0.1071080484927243,1189.0,59121,422302.0997649997,2355.8276094276093,False,False,False
ZCTA5 33143,31688,1709.0,711800.0,31394,27726,934,295,13337,7356,5981,33143,0.1168376122826017,1709.0,31688,951075.4286086564,2737.06507936508,False,False,False
ZCTA5 33144,26596,1611.0,410200.0,26453,24242,638,182,9296,5195,4101,33144,0.0835822023967035,1611.0,26596,619470.5807951065,2463.365740740741,False,False,False
ZCTA5 33145,29240,1694.0,480100.0,28964,25991,1107,168,11809,5921,5888,33145,0.1026446623394558,1694.0,29240,725512.2755852557,2869.461251167133,False,False,False
ZCTA5 33146,17962,2571.0,1119100.0,17776,11860,1044,1188,5357,3500,1857,33146,0.3328082808280828,2571.0,17962,1897381.3257511891,3668.254570275404,False,False,False
